date,serial_number,model,capacity_bytes,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_194_raw,smart_197_raw,smart_198_raw,days_to_failure
2024-01-01,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,7265,1,0,27,0,2,-1
2024-01-02,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,2685,0,1,29,0,2,-1
2024-01-03,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,3433,1,1,36,1,1,-1
2024-01-04,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,7396,0,1,36,1,1,-1
2024-01-05,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,25233,0,0,36,2,2,-1
2024-01-06,DRIVE_0000,ST4000DM000,12000000000000.0,0,3,20118,1,0,38,1,1,-1
2024-01-07,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,4556,1,0,27,0,2,-1
2024-01-08,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,11555,0,0,38,1,0,-1
2024-01-09,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,24425,1,0,28,1,0,-1
2024-01-10,DRIVE_0000,ST4000DM000,12000000000000.0,0,3,18159,0,1,39,2,0,-1
2024-01-11,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,2021,1,0,30,1,1,-1
2024-01-12,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,7873,1,1,36,0,2,-1
2024-01-13,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,12534,1,1,32,1,2,-1
2024-01-14,DRIVE_0000,ST4000DM000,12000000000000.0,0,3,9529,0,1,39,0,0,-1
2024-01-15,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,8208,1,1,37,0,0,-1
2024-01-16,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,22847,0,0,25,2,0,-1
2024-01-17,DRIVE_0000,ST4000DM000,12000000000000.0,0,3,23002,1,1,25,2,2,-1
2024-01-18,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,4561,0,0,31,2,0,-1
2024-01-19,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,14067,0,1,26,2,0,-1
2024-01-20,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,15039,1,0,29,2,1,-1
2024-01-21,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,10762,1,1,25,1,2,-1
2024-01-22,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,21224,0,0,29,1,2,-1
2024-01-23,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,24322,0,0,33,1,2,-1
2024-01-24,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,16934,1,1,31,0,2,-1
2024-01-25,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,8574,1,0,31,1,0,-1
2024-01-26,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,17198,0,0,35,0,0,-1
2024-01-27,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,10789,1,1,33,1,1,-1
2024-01-28,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,22834,1,1,34,1,1,-1
2024-01-29,DRIVE_0000,ST4000DM000,12000000000000.0,0,3,2306,0,0,38,1,0,-1
2024-01-30,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,8526,1,0,30,0,2,-1
2024-02-01,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,14545,0,1,36,0,0,-1
2024-02-02,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,19237,1,1,25,0,0,-1
2024-02-03,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,12649,1,1,27,1,2,-1
2024-02-04,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,27736,0,0,26,0,2,-1
2024-02-05,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,6855,1,1,25,2,0,-1
2024-02-06,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,19091,0,1,34,1,0,-1
2024-02-07,DRIVE_0000,ST4000DM000,12000000000000.0,0,3,26342,0,0,30,2,0,-1
2024-02-08,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,2930,1,1,39,1,1,-1
2024-02-09,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,19895,0,1,37,2,1,-1
2024-02-10,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,26945,1,1,27,2,2,-1
2024-02-11,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,20360,1,1,32,2,0,-1
2024-02-12,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,7616,1,0,26,2,0,-1
2024-02-13,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,17371,0,0,36,1,0,-1
2024-02-14,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,20492,1,0,35,1,0,-1
2024-02-15,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,5499,0,0,32,2,2,-1
2024-02-16,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,6539,1,1,30,2,0,-1
2024-02-17,DRIVE_0000,ST4000DM000,12000000000000.0,0,3,17482,1,0,33,1,0,-1
2024-02-18,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,12969,1,1,30,1,1,-1
2024-02-19,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,6699,1,0,25,0,0,-1
2024-02-20,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,21880,1,1,25,2,2,-1
2024-02-21,DRIVE_0000,ST4000DM000,12000000000000.0,0,3,18429,0,0,38,1,2,-1
2024-02-22,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,17609,0,1,29,2,2,-1
2024-02-23,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,28643,1,0,37,0,0,-1
2024-02-24,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,24723,1,0,36,0,0,-1
2024-02-25,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,2060,1,0,32,1,2,-1
2024-02-26,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,20554,0,1,36,0,2,-1
2024-02-27,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,3975,1,0,31,0,0,-1
2024-02-28,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,23238,1,0,30,1,0,-1
2024-02-29,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,8455,0,1,39,1,1,-1
2024-02-30,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,13249,0,0,25,1,1,-1
2024-03-01,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,22980,0,0,34,1,2,-1
